journal,year,mont,title,abstract,author
The American journal of occupational therapy : official publication of the American Occupational Therapy Association,2020,11,"Occupational Therapy's Commitment to Diversity, Equity, and Inclusion.","The American Occupational Therapy Association's (AOTA's) Vision 2025 conveys a strong commitment to diversity, equity, and inclusion (AOTA, 2019). AOTA affirms the inalienable right of every individual to feel welcomed, valued, a sense of belonging, and respected while accessing and participating in society, regardless of the internal or external factors that make every individual unique. This statement supports efforts to increase diversity, equity, and inclusion within all aspects of occupational therapy, including practice, education, and research, as well as policy development and advocacy.",
American journal of obstetrics and gynecology,2020,11,Has a critical mass of women resulted in gender equity in gynecologic surgery?,"Gender equity in medicine and surgery has recently received widespread attention. Unlike surgical specialties that remain predominantly male, the majority of obstetrician-gynecologists have been women for nearly a decade, and women have composed the majority of trainees since the 1990s. Despite a critical mass of women, biases related to gender persist in the field. Professional and behavioral expectations of men and women gynecologists remain different for patients and workplace colleagues. Gender discrimination and sexual harassment are still experienced at high rates by both trainees and obstetrician-gynecologists in practice. In addition, in other surgical fields, women gynecologic surgeons face a gender wage gap that is unexplained by differences in experience, hours worked, or subspecialty training. Academic advancement and the attainment of leadership positions remain a challenge for many women. Policies related to pregnancy and parenting may disproportionately affect the careers of women gynecologists. This article presents peer-reviewed evidence relevant to gender equity in the workplace and suggests proactive interventions to ensure diversity and inclusion for gynecologic surgeons.",Heisler CA
American journal of obstetrics and gynecology,2020,11,"Galvanizing for the future: a bottom-up departmental approach to diversity, equity, and inclusion.","As an academic department, we sought to identify effective strategies to engage our faculty and staff in diversity, equity, and inclusion initiatives and programs to build an inclusive department that would address our needs and those of our community and partners. Over a 4-year period, our faculty and staff have participated in town hall meetings, focus group discussions, surveys, and community-building activities to foster stakeholder engagement that will build a leading academic department for the future. We noted that our faculty and staff were committed to building diversity, equity, and inclusion, and our mission and vision were reflective of this. However, communication and transparency may be improved to help support a more inclusive department for all. In the future, we hope to continue with the integration of diversity, equity, and inclusion into our department's business processes to achieve meaningful, sustained change and impact through continued focus on recruitment, selection, retention, development, and wellness of faculty and staff-in addition to the continued recruitment of faculty and staff from underrepresented minority groups. Our findings should serve as a call to action for other academic obstetrics and gynecology departments to improve the health and well-being of the individuals we serve.",Mmeje O
Journal of clinical nursing,2020,11,Embedding skin tone diversity into undergraduate nurse education: Through the lens of pressure injury.,To explore health disparity in on-campus undergraduate nurse education through the analysis of teaching and teaching material exploring pressure injuries.,Oozageer Gunowa N
Headache,2020,11,Equity of African American Men in Headache in the United States: A Perspective From African American Headache Medicine Specialists (Part 2).,"In part 1 of this opinion piece, we described inherent and potential challenges of the equity of African American (AA) men in headache medicine including headache disparities, mistrust, understudied/lack of representation in research, cultural differences, implicit/explicit bias, and the diversity tax. We shared personal experiences related to headache medicine likely faced due to the color of our skin. In part 2, we offer possible solutions to achieve equity for AA men in headache including: (1) addressing head and facial pain disparities and mistrust in AA men; (2) professionalism and inclusion; (3) organizational/departmental leadership buy-in for racial diversity; (4) implicit/explicit and other bias training; (5) diversity panels with open discussion; (6) addressing diversity tax; (7) senior mentorship; (8) increased opportunities for noteworthy and important roles; (9) forming and building alliances and partnerships; (10) diversity leadership training programs; (11) headache awareness, education, and literacy with a focus to underrepresented in medicine trainees and institutions; and (12) focused and supported the recruitment of AA men into headache medicine.",Charleston L 4th
Headache,2020,11,Equity of African American Men in Headache in the United States: A Perspective From African American Headache Medicine Specialists (Part 1).,"Migraine and severe headache affect approximately 1 in 6 U.S. adults and migraine is one of the most disabling disorders worldwide. Approximately 903,000 to 1.5 million African American (AA) men are affected by migraine in the United States. Racial disparities in headache medicine exist. In addition, there are limited headache studies that attest to the inclusion of or have robust data on AA men in headache medicine in the United States. Racial concordance between provider and patient may ameliorate some aspects of care disparities. Moreover, it has been demonstrated that diversity and inclusion particularly in leadership of organizations has consistently produced positive change, increased innovation, and long-term success. Most national headache organizations strive to improve the care and lives of people living with headache disorders yet only ~0.5% of their physician members are AA men. Herein, we provide an observation of equity issues from the perspective of AA men in the headache medicine subspecialty. Part 1 of this manuscript explores inherent and potential challenges of the equity of AA men in headache medicine including headache disparities, mistrust, understudied/lack of representation in research, cultural differences, implicit/explicit bias, and the diversity tax. Part 2 of this work offers possible solutions to achieve equity for AA men in headache including: (1) addressing head and facial pain disparities and mistrust in AA men; (2) professionalism and inclusion; (3) organizational/departmental leadership buy-in for racial diversity; (4) implicit/explicit and other bias training; (5) diversity panels with open discussion; (6) addressing diversity tax; (7) senior mentorship; (8) increased opportunities for noteworthy and important roles; (9) forming and building alliances and partnerships; (10) diversity leadership training programs; (11) headache awareness, education, and literacy with focus to underrepresented in medicine trainees and institutions; and (12) focused and supported the recruitment of AA men into headache medicine. More work is needed for equity of AA men in headache medicine.",Charleston L 4th
,2020,10,"Racial Justice, Diversity, Equity, and Inclusion in Neuroscience Training: Proceedings of a Workshop—in Brief","The Action Collaborative on Neuroscience Training: Developing a Nimble and Versatile Workforce (Action Collaborative) is an ad hoc activity convened under the auspices of the Forum on Neuroscience and Nervous System Disorders (Neuroscience Forum) of the National Academies of Sciences, Engineering, and Medicine. Originated from and informed by the work of the Action Collaborative, the Neuroscience Forum launched a virtual workshop series in order to explore the rapidly evolving neuroscience career landscape and how neuroscience training programs can help trainees to develop the knowledge and skillset needed to advance their careers and biomedical science. The first of these workshops, held on August 20, 2020, tackled complex issues related to racial justice, diversity, equity, and inclusion. Panel presentations of the workshop were envisioned as a starting point for an ongoing discussion around the ways scientists can stand against racism and support diversity, equity, and inclusion in neuroscience and academia, both in their local communities and in the broader world. This publication highlights the presentations and discussion of the workshop.",Stroud C
Journal of the American Heart Association,2020,10,"Diversity, Equity, and Inclusiveness in Medicine and Cardiology: Next Steps for JAHA .","We, the Editors of the Journal of the American Heart Association , sincerely regret the publication of the article ""Diversity, Inclusion, and Equity: Evolution of Race and Ethnicity Considerations for the Cardiology Workforce in the United States of America From 1969 to 2019"". 1 We are aware that the publication of this flawed and biased article has caused a great deal of unnecessary pain and anguish to a number of parties, and reflects extremely poorly on us. We fully support the retraction of this article.",London B
Translational behavioral medicine,2020,10,Lessons learned from the initial 4 years of the SBM Mid-Career Leadership Institute.,"In 2015, the Society of Behavioral Medicine (SBM) created the Mid-Career Leadership Institute. The initial model that motivated the creation of the institute came from my participation in the Hedwig van Ameringen Executive Leadership in Academic Medicine (ELAM) program, specifically designed to enhance the leadership skills of senior female faculty in the health sciences. My participation in ELAM was transformative. It led me to run for president of SBM in 2014, to consider how behavioral scientists could similarly benefit from mid-career leadership training, and ultimately to work with the SBM Executive Director, the SBM Leadership Institute Steering Committee, and leadership training professionals to launch the Leadership Institute in 2016. The overarching goal of the SBM Leadership Institute is to train mid-career behavioral scientists engaged in academic and health care settings to develop essential skills needed to navigate the unique challenges of mid-career. Central to this goal is a focus on integrating diversity, equity, and inclusion into their emerging leadership roles through participation in training exercises, lectures, and dynamic group discussions. To optimize the Leadership Institute experience, opportunities were developed, including mentoring from SBM seasoned members, peer mentoring through the creation of ""learning communities,"" career coaching, and additional networking opportunities. The purpose of this brief commentary is to summarize lessons learned by highlighting program evaluation, describing key changes over the initial 4 years, and sharing future plans for leadership training.",Fitzgibbon ML
The Journal of neuroscience : the official journal of the Society for Neuroscience,2020,10,"Reporting Grantee Demographics for Diversity, Equity, and Inclusion in Neuroscience.","Professional neuroscience organizations have recently pledged their commitments to diversity, equity, and inclusion in examining institutional discrimination; to raise questions about how to train underrepresented scientists; and to recruit underrepresented subjects for a more equitable scientific enterprise in the 21st century. Studies have illuminated racial disparities in funding, likely because of implicit bias in the review process and differential access to resources. We propose that one concrete way to monitor and redress these disparities is to collect and publicize data on grantees by gender, race, ethnicity, and location from neuroscience funding agencies. Beyond remedying historical disadvantages, disseminating funding more equitably across recipients would be an empirical solution that can improve the very quality of neuroscience.",Choudhury S
American journal of epidemiology,2020,10,Diversity and Political Leaning: Considerations for Epidemiology.,"The positive effects of increased diversity and inclusion in scientific research and practice are well documented. In this issue, DeVilbiss et al. (Am J Epidemiol. 2020;189(10):998-1010) present findings from a survey used to collect information to characterize diversity among epidemiologists and perceptions of inclusion in the epidemiologic profession. They capture identity across a range of personal characteristics, including race, gender, socioeconomic background, sexual orientation, religion, and political leaning. In this commentary, we assert that the inclusion of political leaning as an axis of identity alongside the others undermines the larger project of promoting diversity and inclusion in the profession and is symptomatic of the movement for ""ideological diversity"" in higher education. We identify why political leaning is not an appropriate metric of diversity and detail why prioritizing ideological diversity counterintuitively can work against equity building initiatives. As an alternative to ideological diversity, we propose that epidemiologists take up an existing framework for research and practice that centers the voices and perspectives of historically marginalized populations in epidemiologic work.",Allen B
American journal of epidemiology,2020,10,"You're From … Where, Again? A Critical Assessment of Institutional Diversity in the Society for Epidemiologic Research.","The Society for Epidemiologic Research (SER) has recently taken laudable steps toward increasing diversity, equity, and inclusion within the society, including participation in the annual meeting. In this essay, we argue that there is one critical piece of the diversity and inclusion equation that is, however, overlooked: institution. At the 2019 Annual Meeting, a mere 8 institutions accounted for a disproportionate number of both oral concurrent sessions and symposium speakers. This lack of institutional diversity, unless addressed, will hinder SER's ability to address other aspects of diversity, equity, and inclusion.",Bovbjerg ML
Academic medicine : journal of the Association of American Medical Colleges,2020,10,Achieving Gender Equity Is Our Responsibility: Leadership Matters.,"Across academic medicine, and particularly among faculty and medical school leadership, the status quo is unacceptable when it comes to gender diversity, equity, and inclusion. The Association of American Medical Colleges has launched a bold gender equity initiative, endorsed by its Board of Directors, to implore academic medical institutions to take meaningful and effective actions.Defining what progress should look like to guide these actions is worth deeper exploration. It is not enough to measure the representation of different genders at various levels of leadership within our institutions. Research and experience we share suggests more must be done, especially for women of diverse racial and ethnic backgrounds. What is needed is a fundamental conversation about privilege, intersectionality across different backgrounds, and progress.Institutional leaders have a choice to make. Will we make gender equity a top priority system-wide because we recognize that doing so leads to organizational excellence? Do we understand that establishing a robust, comprehensive definition of gender equity and how it is practiced will result in better outcomes for all? And are we ready and able to prioritize and be accountable for efforts that are measurable, with clear definitions of progress; driven and reinforced by leadership directives; inclusive of all, including men as well as women of diverse backgrounds and orientations; and systemic rather than ad-hoc? Implementing such actions requires initiating difficult conversations, making conscious choices, and modeling best practices from leaders who have successfully made gender equity a priority.",Acosta DA
PLoS computational biology,2020,10,Ten simple rules for building an antiracist lab.,"Demographics of the science, technology, engineering, and mathematics (STEM) workforce and student body in the US and Europe continue to show severe underrepresentation of Black, Indigenous, and people of color (BIPOC). Among the documented causes of the persistent lack of diversity in STEM are bias, discrimination, and harassment of members of underrepresented minority groups (URMs). These issues persist due to continued marginalization, power imbalances, and lack of adequate policies against misconduct in academic and other scientific institutions. All scientists can play important roles in reversing this trend by shifting the culture of academic workplaces to intentionally implement equitable and inclusive policies, set norms for acceptable workplace conduct, and provide opportunities for mentorship and networking. As scientists are increasingly acknowledging the lack of racial and ethnic diversity in science, there is a need for clear direction on how to take antiracist action. Here we present 10 rules to help labs develop antiracists policies and action in an effort to promote racial and ethnic diversity, equity, and inclusion in science.",Chaudhary VB
Academic medicine : journal of the Association of American Medical Colleges,2020,10,Where Are We in Bridging the Gender Leadership Gap in Academic Medicine?,"In nearly all walks of life, leadership sets the tone for what gets done, who does it, and how it is achieved. In 2020, the top ranks of academic medicine have not yet attained gender parity-an aspirational goal set 7 years ago in this journal as ""50:50 by 2020,"" and a vital aim for the United States' productivity and innovation as a leader in biomedical research. Parity in academic leadership for women and other groups underrepresented in science and medicine will seed the culture change necessary for inclusive excellence: environments in which individuals from all backgrounds thrive in their pursuit of new knowledge to benefit human health.In this Invited Commentary, the author describes the National Institutes of Health's (NIH's) current system-wide framework and tools for creating cultures of inclusive excellence through a set of guiding principles and integrated strategies. Successful efforts will recognize that individually focused solutions are necessary but not sufficient for institutional culture change. In keeping with a systems approach are implementing accountability and transparency; establishing clear metrics of inclusion, diversity, and equity; tracking and evaluating such metrics; as well as tying these metrics to institutional reward systems. These essential steps to institutional culture transformation require strong partnerships between NIH and the academic community. The author argues that with committed vision, focus, and energy, success is attainable, and soon.",Valantine HA
Nature ecology & evolution,2020,10,Improving sex and gender identity equity and inclusion at conservation and ecology conferences.,"Conferences are important for professional learning and for building academics' reputations and networks. All members of the scientific community should feel supported and free to contribute their best at such events. I evaluated the actions and policies of conferences held by international academic societies for ecology and conservation since 2009, to assess whether conferences support participation across sexual orientations and gender identities. Although half of the 30 conferences had codes of conduct promoting equity, diversity and inclusion, the quantity and quality of initiatives to support such principles varied between societies and years. Conferences with codes were significantly more likely to implement structural initiatives to minimize discrimination or harassment, such as procedures for reporting misconduct and submission guidelines to promote speaker diversity, as well as initiatives to support parents. Initiatives minimizing barriers to attendance were rare; 47% of conferences were held in locations that discriminate against certain identities and <10% promoted event safety and accessibility to potential attendees. Piecemeal actions and inadequate conference evaluation have resulted in no significant growth in gender equity or diversity initiatives. I propose a six-step timeline that improves conference inclusion by embedding diversity and equity into planning, financing, marketing, scientific and social scheduling, evaluation and reporting.",Tulloch AIT
Otolaryngologic clinics of North America,2020,10,Diversity and Inclusion-Why Does It Matter.,"Otolaryngology has historically lagged behind other specialties with respect to diversity, equity and inclusion (DEI) and remains one of the least diverse specialties as it relates to gender, race and ethnicity. Strategies aimed at increasing DEI include programs designed to provide mentorship, coaching, and sponsorship. Pipeline efforts, inclusivity on committees, bi-directional communication, and equal pay are additional DEI efforts that have been successful in recruiting and retaining those under-represented in medicine (URiM). Closing the equity gap requires commitment; daily action and measuring progress is required. Finally, use feedback to make refinements as opportunities exist to continually improve DEI efforts.",Francis CL
American journal of epidemiology,2020,10,Epidemiologists Count: The Role of Diversity and Inclusion in the Field of Epidemiology.,"We present interpretations of the idea that ""epidemiologists count"" in response to the current status of membership and diversity and inclusion efforts within the Society for Epidemiological Research (SER). We review whom epidemiologists count to describe the (mis)representation of SER membership and how categorizations of people reflect social constructions of identity and biases that exist in broader society. We argue that what epidemiologists count-how diversity and inclusion are operationalized-has real-world implications on institutional norms and how inclusive/non-inclusive environments are. Finally, we examine which epidemiologists count within the field and argue that inclusion can only be achieved when we address how resources and opportunities are distributed among epidemiologists. To improve diversity and inclusion within SER and beyond, we recommend that SER strengthen its commitment to diversity, inclusion, and equity by: 1) integrating this priority on all agendas; 2) enhancing efforts to improve self-awareness among members and accountability within the organization; 3) supporting the growth of a diversifying workforce in epidemiology; and 4) increasing the visibility of health disparities research and researchers in epidemiology.",Ðoàn LN
American journal of epidemiology,2020,10,Recommendations to the Society for Epidemiologic Research for Further Promoting Diversity and Inclusion at the Annual Meeting and Beyond.,"Increasing diverse engagement in the Society for Epidemiologic Research (SER) will positively impact the field of epidemiology. As the largest and longest-running epidemiologic society in North America, SER has long been a pioneer in promoting diversity and inclusion. A recent survey of SER members, however, showed there is still room for improving diversity, inclusion, representation, and participation in the Society. In this commentary, as members of both the SER and the Johns Hopkins Bloomberg School of Public Health Department of Epidemiology's Inclusion, Diversity, Equity, Anti-Racism, and Science (Epi IDEAS) Working Group, we recommend 4 goals for the SER Annual Meeting and beyond: 1) convene epidemiologic researchers with diverse backgrounds and ideas; 2) promote an inclusive environment at the SER Annual Meeting; 3) develop, compile, and disseminate best practices to honor diversity in epidemiologic research; and 4) increase prioritization of health disparities research and methods. We also suggest strategies for achieving these goals so that SER can better include, support, and elevate members from historically disadvantaged groups. While our recommendations are tailored specifically to SER, the greater epidemiologic and academic communities could benefit from adopting these goals and strategies within their professional societies and conferences.",Zhang M
Molecular biology of the cell,2020,9,Beyond the bench: how inclusion and exclusion make us the scientists we are.,"Recent events encompassing social injustices, healthcare disparities, and police brutality against Black citizens highlight the continued need to strive toward unbiased and inclusive practices in all realms of the world. Our voices as cell biologists are powerful tools that can be used to combat inequities in the scientific landscape. In this inaugural Voices essay, we discuss how exclusion and inclusion events have contributed to our scientific journeys and how scientists can work to create an inclusive environment for our trainees and colleagues. As underrepresented minority scientists in the early and late stages of our scientific training, we frame the trainee experience to provide insight from unique perspectives. This essay also provides actionable items that the cell biology community can implement to promote inclusivity. We anticipate that initiating an open dialogue focused on diversity and inclusion will promote growth in the field of cell biology and enable scientists to assess and assume their role in creating welcoming environments. We believe that scientists at all stages in their careers can make meaningful and habitual contributions to supporting inclusivity in cell biology, thereby creating a future where diversity, equity, and inclusion are expected, not requested.",Termini CM
The Journal of infectious diseases,2020,9,"Inclusion, Diversity, Access, and Equity (IDA&E) Roadmap: Infectious Diseases Society of America's Commitment to the Future.","This article identifies the major elements of the strategic road map for the Infectious Diseases Society of America's (IDSA) Inclusion, Diversity, Access, and Equity (IDA&E) initiative and discusses the long-term goals and the proposed steps needed to achieve these goals.",Desruisseaux MS
The Journal of infectious diseases,2020,9,A Piece of History: The Legacy of George W. Counts and Underrepresented Populations.,"The fight for social justice and diversity in medicine stems from racial inequalities and discrimination that have permeated our society for centuries. As America has become more diverse in recent years, African American physicians remain largely underrepresented in the healthcare workforce and academic medicine. In the field of infectious diseases, one man, George W. Counts, has shouldered the struggle to end disparities in education, training, research, and academic advancement. This article celebrates his legacy and rekindles the discussion about inclusion, diversity, access, and equity in infectious diseases.",Berthaud V
Frontiers in public health,2020,9,Public Health Has an Equity Problem: A Latinx's Voice.,"Public health has an equity problem. One of the main pillars of our public health system, schools and academic programs of public health, are under the control of white (heterosexual) faculty. They continue to exclude brown, black, and indigenous people from their faculty and leadership ranks. This racism pervades institutional policies and culture and is a major fault in the quest for health equity. In this essay, I center on the experience of Latinx faculty to examine the roots of this inequity and the arguments for diversity and inclusion. I also propose avenues for change and argue for institutional transformation that goes beyond adding people of color to faculty and leadership roles.",Ramirez-Valles J
Plant direct,2020,9,Plant science decadal vision 2020-2030: Reimagining the potential of plants for a healthy and sustainable future.,"Plants, and the biological systems around them, are key to the future health of the planet and its inhabitants. The Plant Science Decadal Vision 2020-2030 frames our ability to perform vital and far-reaching research in plant systems sciences, essential to how we value participants and apply emerging technologies. We outline a comprehensive vision for addressing some of our most pressing global problems through discovery, practical applications, and education. The Decadal Vision was developed by the participants at the Plant Summit 2019, a community event organized by the Plant Science Research Network. The Decadal Vision describes a holistic vision for the next decade of plant science that blends recommendations for research, people, and technology. Going beyond discoveries and applications, we, the plant science community, must implement bold, innovative changes to research cultures and training paradigms in this era of automation, virtualization, and the looming shadow of climate change. Our vision and hopes for the next decade are encapsulated in the phrase reimagining the potential of plants for a healthy and sustainable future. The Decadal Vision recognizes the vital intersection of human and scientific elements and demands an integrated implementation of strategies for research (Goals 1-4), people (Goals 5 and 6), and technology (Goals 7 and 8). This report is intended to help inspire and guide the research community, scientific societies, federal funding agencies, private philanthropies, corporations, educators, entrepreneurs, and early career researchers over the next 10 years. The research encompass experimental and computational approaches to understanding and predicting ecosystem behavior; novel production systems for food, feed, and fiber with greater crop diversity, efficiency, productivity, and resilience that improve ecosystem health; approaches to realize the potential for advances in nutrition, discovery and engineering of plant-based medicines, and ""green infrastructure."" Launching the Transparent Plant will use experimental and computational approaches to break down the phytobiome into a ""parts store"" that supports tinkering and supports query, prediction, and rapid-response problem solving. Equity, diversity, and inclusion are indispensable cornerstones of realizing our vision. We make recommendations around funding and systems that support customized professional development. Plant systems are frequently taken for granted therefore we make recommendations to improve plant awareness and community science programs to increase understanding of scientific research. We prioritize emerging technologies, focusing on non-invasive imaging, sensors, and plug-and-play portable lab technologies, coupled with enabling computational advances. Plant systems science will benefit from data management and future advances in automation, machine learning, natural language processing, and artificial intelligence-assisted data integration, pattern identification, and decision making. Implementation of this vision will transform plant systems science and ripple outwards through society and across the globe. Beyond deepening our biological understanding, we envision entirely new applications. We further anticipate a wave of diversification of plant systems practitioners while stimulating community engagement, underpinning increasing entrepreneurship. This surge of engagement and knowledge will help satisfy and stoke people's natural curiosity about the future, and their desire to prepare for it, as they seek fuller information about food, health, climate and ecological systems.",Henkhaus N
Journal of managed care & specialty pharmacy,2020,9,Polypharmacy Among Privately Insured Adults with Cerebral Palsy: A Retrospective Cohort Study.,"Adults with cerebral palsy (CP) have increased risk for developing various secondary chronic diseases, especially when they have other neurodevelopmental disabilities (NDDs). Multiple medications are likely prescribed to manage the greater morbidity-related burden for adults with CP; however, because health care delivery and care coordination is suboptimal for this population, adults with CP may have an increased risk for polypharmacy. To date, very little is known about the prescribing practices and extent of polypharmacy for adults with CP.",Whitney DG
Frontiers in sociology,2020,8,A Call for Culturally Responsive Transformational Leadership in College Sport: An Anti-ism Approach for Achieving Equity and Inclusion.,"A longstanding fact in college sports in the United States (U.S.) is the reality that inequities, inequalities, and discrimination have been major issues preventing institutions from fostering harmonious diversity and inclusion. Several reasons for these persistent outcomes include the prevalence of implicit bias, homologous reproduction, hegemonic, and toxic masculinity/patriarchy, colorblind racism, and abstract liberalism to name a few. In addition, multi-level factors (macro-, meso-, and micro-) also influence the existence and salience of negative organizational cultures and climates particularly for groups that are underrepresented and marginalized in society. Despite the fact several leadership styles have been enacted and numerous policy reforms have been adopted over the years, inequities in representation, occupational mobility, position retention, and quality of experiences persist along racial and gender lines. As a result, the purpose of this manuscript is to offer innovative transformational leadership approaches that incorporate anti-racism, anti-sexism, and culturally responsive stances toward achieving true equity and inclusiveness in sport. Using interdisciplinary theories such as the anti-racism framework and culturally responsive leadership, this manuscript presents a paradigm shift for college sport leadership with the intent of cultivating paramount experiences for people across diverse backgrounds.",Cooper JN
International journal of therapeutic massage & bodywork,2020,8,"Equity, Diversity, and Inclusion in the Massage Therapy Profession.","It has been documented that there are disparities in who seeks massage therapy in the United States. Yet, there are few conversations about race and ethnicity of the massage therapists who provide these services. We must examine the diversity, equity, and inclusion within the massage therapy profession and consider how the profession can improve the landscape for clients/patients and for those who feel called to work within this field. Although the diversity of the profession and those who seek treatment are rarely discussed, this paper explores these issues and offers possible solutions to expand the diversity of the profession and patient population.",Balogun O
MedEdPORTAL : the journal of teaching and learning resources,2020,7,"""I Didn't Know What to Say"": Responding to Racism, Discrimination, and Microaggressions With the OWTFD Approach.","Academic medicine has long faced the challenge of addressing health inequities, reflecting on how these contribute to structural racism, and perpetuating negative social determinants of health. Most recently, we have constructed opportunities for dialogues about racism, discrimination, and microaggressions (RDM). As such, we created a professional development program that encouraged participants to (1) openly discuss RDM and the impact they have in academia, (2) learn about tools to address and respond to RDM, and (3) move towards the creation of inclusive environments. The target audience included institutional leaders, faculty, trainees, professional staff, and health care teams.",Sotto-Santiago S
Neuron,2020,7,NINDS Strategies for Enhancing the Diversity of Neuroscience Researchers.,"Neuroscience is one of the fastest growing fields and highlights the excitement about research, but it also demonstrates the impact that our large scientific community can make in prioritizing equity and inclusion throughout science. I discuss strategies at multiple systemic levels where opportunities and interventions could be implemented to enhance neuroscience workforce diversity.",Jones-London M
Academic medicine : journal of the Association of American Medical Colleges,2020,7,Women's Representation Among Members and Leaders of National Medical Specialty Societies.,"National medical specialty societies speak for their respective fields in policy debates, influence research, affect trainees' specialization decisions, provide career development opportunities, and confer awards and recognitions. This study provides a comprehensive overview of the gender demographics of society members and leaders.",Jagsi R
Nurse educator,2020,7,Writing a Diversity and Inclusivity Statement: Guidelines for Nursing Programs and Faculty.,"For decades, nursing programs have worked to address the need for a culturally diverse workforce and student body to better reflect the populations they serve. The development of a diversity and inclusivity statement is a first step in ameliorating this issue.",Pitts C
"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2020,7,Diversity of Enrollment in Prostate Cancer Clinical Trials: Current Status and Future Directions.,"Although there are considerable racial and ethnic disparities in prostate cancer incidence and mortality in the United States and globally, clinical trials often do not reflect disease incidence across racial and ethnic subgroups. This study aims to comprehensively review the reporting of race and ethnicity data and the representation of race and ethnicity across prostate cancer treatment-, prevention-, and screening-based clinical trials.",Rencsok EM
Cureus,2020,6,Gender Disparity in Academic Rank and Productivity Among Public Health Physician Faculty in North America.,"Background The issue of gender disparity is particularly important in the domain of public health where the tone of its leadership is pivotal in bringing about impactful change to research, policies, and the wellbeing of our various populations. Our aim is to explore the gender disparity of author metrics and academic rankings of public health physician faculty through a cross-sectional study. Methods Data collection for this retrospective cross-sectional study took place during June and July of 2017. Public health and preventive medicine residency training programs in the United States and Canada were to compiled and all faculty members that met the inclusion criteria were recorded (n = 973). Variables of interest include gender, h-index, years of active research, and academic appointments. SCOPUS database (Elsevier, Amsterdam, the Netherlands) was used to generate author metrics, and all statistical tests were performed using Statistical Package for the Social Sciences (SPSS) software version 20 (IBM Corp., Armonk, NY). Results Overall, 31.14% (n = 303) of faculty members we studied were from Canada, and 68.86% (n = 670) were from the United States. In both countries, males made up the majority of all faculty members. Female faculty comprised most of the early career positions, and their proportions tapered off with higher academic rank, whereas male faculty trended in the opposite direction. Males generally were higher in all academic measures across all appointments.  Conclusions  Gender disparity exists within the North American public health and preventive medicine discipline. There are underlying factors preventing women from moving beyond early career positions or engaging in academic research.",Lee D
CBE life sciences education,2020,6,Scientific Societies Fostering Inclusive Scientific Environments through Travel Awards: Current Practices and Recommendations.,"Diversity-focused committees continue to play essential roles in the efforts of professional scientific societies to foster inclusion and facilitate the professional development of underrepresented minority (URM) young scientists in their respective scientific disciplines. Until recently, the efforts of these committees have remained independent and disconnected from one another. Funding from the National Science Foundation has allowed several of these committees to come together and form the Alliance to Catalyze Change for Equity in STEM Success, herein referred to as ACCESS. The overall goal of this meta-organization is to create a community in which diversity-focused committees can interact, synergize, share their collective experiences, and have a unified voice on behalf of URM trainees in science, technology, engineering, and mathematics disciplines. In this Essay , we compare and contrast the broad approaches that scientific societies in ACCESS use to implement and assess their travel award programs for URM trainees. We also report a set of recommendations, including both short- and long-term outcomes assessment in populations of interest and specialized programmatic activities coupled to travel award programs.",Segarra VA
Journal of behavioral medicine,2017,2,The ConNECT Framework: a model for advancing behavioral medicine science and practice to foster health equity.,"Health disparities persist despite ongoing efforts. Given the United States' rapidly changing demography and socio-cultural diversity, a paradigm shift in behavioral medicine is needed to advance research and interventions focused on health equity. This paper introduces the ConNECT Framework as a model to link the sciences of behavioral medicine and health equity with the goal of achieving equitable health and outcomes in the twenty-first century. We first evaluate the state of health equity efforts in behavioral medicine science and identify key opportunities to advance the field. We then discuss and present actionable recommendations related to ConNECT's five broad and synergistic principles: (1) Integrating Context; (2) Fostering a Norm of Inclusion; (3) Ensuring Equitable Diffusion of Innovations; (4) Harnessing Communication Technology; and (5) Prioritizing Specialized Training. The framework holds significant promise for furthering health equity and ushering in a new and refreshing era of behavioral medicine science and practice.",Alcaraz KI
Advances in radiation oncology,2020,5,Pathways for Recruiting and Retaining Women and Underrepresented Minority Clinicians and Physician Scientists Into the Radiation Oncology Workforce: A Summary of the 2019 ASTRO/NCI Diversity Symposium Session at the ASTRO Annual Meeting.,"Diversifying the radiation oncology workforce is an urgent and unmet need. During the American Society of Radiation Oncology (ASTRO) 2019 Annual Meeting, ASTRO's Committee on Health Equity, Diversity, and Inclusion (CHEDI) and the National Cancer Institute (NCI) collaborated on the ASTRO-NCI Diversity Symposium, entitled ""Pathways for Recruiting and Retaining Women and Underrepresented Minority Clinicians and Physician Scientists Into the Radiation Oncology Workforce."" Herein, we summarize the presented data and personal anecdotes with the goal of raising awareness of ongoing and future initiatives to improve recruitment and retention of underrepesented groups to radiation oncology. Common themes include the pivotal role of mentorship and standardized institutional practices - such as protected time and pay parity - as critical to achieving a more diverse and inclusive workplace.",Suneja G
Journal of pharmaceutical policy and practice,2020,5,A step towards gender equity to strengthen the pharmaceutical workforce during COVID-19.,"There is plenty of evidence to support that women leaders are needed in the health and pharmaceutical sectors, although most of the leadership positions in global health are predominantly occupied by men. This is a major challenge to global health policy. Gender diversity and inclusion within the pharmaceutical workforce is integral to optimal patient care. Women continue to be underrepresented in senior and leadership positions within pharmacy, despite outnumbering the men in the global pharmacy workforce. This commentary highlights the need towards gender equity and discusses the several key initiatives that are building momentum and making substantial progress towards this agenda in the pharmaceutical workforce.",Bukhari N
