journal,year,month,title,abstract,author,author1,affiliation
American Journal of Preventive Medicine,2021,6,Community Testing and SARS-CoV-2 Rates for Latinxs in Baltimore.,"<bold>Introduction: </bold>Latinxs have been disproportionately impacted by COVID-19. Latinx immigrants, in particular, face significant barriers to SARS-CoV-2 testing, including lack of insurance, language barriers, stigma, work conflicts, and limited transportation.<bold>Methods: </bold>In response to a disproportionately high SARS-CoV-2 positivity rate among Latinxs at the Johns Hopkins Health System, investigators implemented free community-based testing by partnering with religious leaders and leveraging the skill of trusted community health workers. Data were extracted from the electronic health record and a Research Electronic Data Capture database. SARS-CoV-2 positivity was evaluated per event stratified by race/ethnicity. Total rates of SARS-CoV-2 positivity and categorical patient characteristics were compared between groups using chi-square tests.<bold>Results: </bold>Between June 25, 2020 and October 15, 2020, a total of 1,786 patients (57.5% Latinx, 31.2% non-Hispanic White, 5.9% non-Hispanic Black, and 5.3% non-Hispanic other) were tested for SARS-CoV-2 in 18 testing events. Among them, 355 (19.9%) tested positive. The positivity rate was 31.5% for Latinxs, 7.6% for non-Hispanic Blacks, 3.4% for non-Hispanic Whites, and 5.3% for patients of other races/ethnicities. Compared with Latinxs who tested negative, Latinxs who tested positive were more likely to report Spanish as their preferred language (91.6% vs 81.7%, p<0.001), be younger (30.4 vs 33.4 years, p<0.008), and have a larger household size (4.8 vs 4.3 members, p<0.002).<bold>Conclusions: </bold>Community-based testing identified high levels of ongoing SARS-CoV-2 transmission among primarily Latinxs with limited English proficiency. During this period, the overall positivity rate at this community testing site was almost 10 times higher among Latinxs than among non-Hispanic Whites.","Bigelow, Benjamin F.","Saxton, Ronald E.","Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland"
Journal of Autism & Developmental Disorders,2023,4,Hospitalization and Mortality for Insured Patients in the United States with COVID-19 with and without Autism Spectrum Disorder.,Autism spectrum disorder (ASD) is a neuropsychiatric condition that may be associated with negative health outcomes. This retrospective cohort study reveals the odds of hospitalization and mortality based on ASD for a population of insured patients with COVID-19. The odds of hospitalization and mortality for people with ASD were found to be greater than individuals without ASD when adjusted for sociodemographic characteristics. Hospitalization and mortality was associated with a dose-response increase to comorbidity counts (1 to 5+). Odds of mortality remained greater for those with ASD when adjusting for comorbid health conditions. ASD is a risk factor for COVID-19 mortality. Comorbid health conditions play a particular role in increasing the odds of COVID-19 related hospitalization and death for ASD patients.,"Davis, Amber","Van Eck, Kathryn","Department of Pediatrics, Johns Hopkins University, School of Medicine"
Child Abuse & Neglect,2023,3,"A developmental cascade model of adolescent peer relationships, substance use, and psychopathological symptoms from child maltreatment.","Although previous studies have demonstrated high intercorrelations among deviant peer affiliation, substance use, externalizing and internalizing symptoms in adolescence, these studies have been limited because they did not examine 1) the associations over time by assuming one particular sequence; and 2) child maltreatment effects. This study included 617 adolescents (54.3 % girls, 55.6 % Black) at-risk of maltreatment living in the U.S and primarily low-income. Deviant peer affiliation was assessed at ages 12, 14, and 16 using 13 items from the modified version of the Youth Risk Behavior and Monitoring the Future Survey. Externalizing and internalizing symptoms were measured at ages 12, 14, and 16 using the Child Behavior Checklist. The number of substances used (ages 12, 14, 16, and 18) were created by summing the self-reported alcohol, tobacco, and marijuana use. Each type of maltreatment (birth to age 12) was assessed using the self-report. Autoregressive cross-lagged structural equation modeling explained the stability effects within each domain, as well as how different maltreatment types affect diverse developmental processes. Cross-lagged results showed the socialization effects of peers on substance use, whereas the peer selection effects on externalizing symptoms. Physical abuse was only associated with externalizing symptoms, while sexual abuse was associated with both externalizing and internalizing symptoms. Additionally, emotional abuse was associated with deviant peer affiliation and substance use. Identifying the underlying reciprocal processes offers a deeper understanding of peer relationships in the substance use and externalizing symptoms among at-risk of maltreatment sample.","Yoon, Dalhee","Yoon, Miyoung","Department of Social Work, Binghamton University-State University of New York, USA"
Diabetes Research & Clinical Practice,2023,3,"All-cause mortality after hypoglycemic and hyperglycemic emergencies among U.S. adults with diabetes, 2011–2020.","Estimated all-cause mortality within 30-days of hypoglycemic emergencies is 0.8 % in adults with type 1 diabetes and 1.7 % with type 2 diabetes; and within 30-days of hyperglycemic emergencies, it is 1.2 % with type 1 diabetes and 2.8 % with type 2 diabetes. These rates changed little between 2011 and 2020.","McCoy, Rozalina G.","Herrin, Jeph","Division of Community Internal Medicine, Geriatrics, and Palliative Care, Department of Medicine, Mayo Clinic, Rochester, MN, United States"
College & Research Libraries News,2021,9,Providing care and community in times of crisis: The BIPOC in LIS Mental Health Summits.,"The article presents the highlights of a series of virtual sessions titled ""Black, Indigenous, and People of Color (BIPOC) in Library and Information Sciences (LIS) Mental Health Summit"" starting April 1, 2020. Topics discussed include the hosts of the sessions such as Twanna Hodge and Rayna Smaller, availability of the events to BIPOC community members for free, and goals of the sessions to provide space for BIPOC LIS workers during the COVID-19 pandemic and share resources, among others.","Kendrick, Kaetrena Davis","Leftwich, Amanda M.",Dean of Dacus Library and Pettus Archives and Special Collections at Winthrop University
Journal of College Science Teaching,2021,5,The Undergraduate Teacher-Scholar Program: Comparing Near-Peer and Non Near-Peer Instructors in Laboratory Courses.,"Peer learning programs have been developed to support many introductory science courses by providing additional instruction and engagement. These programs are beneficial to both learners and instructors, providing content learning and confidence and attitudinal gains. There is evidence that the benefits of peer learning are higher when students are taught by a near-peer instructor who is close to the learner in age and experience. Building on this existing evidence, a peer learning program, the Undergraduate Teacher-Scholar (UGTS) Program, was created, involving both graduate student and near-peer instructors teaching in the same discussion or laboratory section. This format creates a vertical learning community within the course structure. The Teacher-Scholar program provides the opportunity to compare the roles of graduate student and near-peer instructors teaching the same students the same instructional material. We report differences and similarities in the perceived roles of the graduate student and near-peer instructors by all of the stakeholders involved in the program. Both graduate student and near-peer instructors are valued by students; however, the near-peer instructors provide mentorship and role model qualities that are not replaced by a graduate student instructor.","Bourne, Sara M.","Limfat, Sean","Elite Edge Tutoring in Oakland, California"
CHEST,2021,3,Operational Recommendations for Scarce Resource Allocation in a Public Health Crisis.,"The coronavirus disease 2019 pandemic may require rationing of various medical resources if demand exceeds supply. Theoretical frameworks for resource allocation have provided much needed ethical guidance, but hospitals still need to address objective practicalities and legal vetting to operationalize scarce resource allocation schemata. To develop operational scarce resource allocation processes for public health catastrophes, including the coronavirus disease 2019 pandemic, five health systems in Maryland formed a consortium-with diverse expertise and representation-representing more than half of all hospitals in the state. Our efforts built on a prior statewide community engagement process that determined the values and moral reference points of citizens and health-care professionals regarding the allocation of ventilators during a public health catastrophe. Through a partnership of health systems, we developed a scarce resource allocation framework informed by citizens' values and by general expert consensus. Allocation schema for mechanical ventilators, ICU resources, blood components, novel therapeutics, extracorporeal membrane oxygenation, and renal replacement therapies were developed. Creating operational algorithms for each resource posed unique challenges; each resource's varying nature and underlying data on benefit prevented any single algorithm from being universally applicable. The development of scarce resource allocation processes must be iterative, legally vetted, and tested. We offer our processes to assist other regions that may be faced with the challenge of rationing health-care resources during public health catastrophes.","Ehmann, Michael R.","Zink, Elizabeth K.","Department of Emergency Medicine, Johns Hopkins University, Baltimore, MD"
AIDS Research & Therapy,2017,4,Validity assessment of the PROMIS fatigue domain among people living with HIV.,"Purpose: To evaluate psychometric characteristics and cross-sectional and longitudinal validity of the 7-item PROMIS® Fatigue Short Form and additional fatigue items among people living with HIV (PLWH) in a nationally distributed network of clinics collecting patient reported data at the time of routine clinical care. Methods: Cross-sectional and longitudinal fatigue data were collected from September 2012 through April 2013 across clinics participating in the Centers for AIDS Research Network of Integrated Clinical Systems (CNICS). We analyzed data regarding psychometric characteristics including simulated computerized adaptive testing and differential item functioning, and regarding associations with clinical characteristics. Results: We analyzed data from 1597 PLWH. Fatigue was common in this cohort. Scores from the PROMIS® Fatigue Short Form and from the item bank had acceptable psychometric characteristics and strong evidence for validity, but neither performed better than shorter instruments already integrated in CNICS. Conclusions: The PROMIS® Fatigue Item Bank is a valid approach to measuring fatigue in clinical care settings among PLWH, but in our analyses did not perform better than instruments associated with less respondent burden.","Gibbons, L. E.","Fredericksen, R.","Department of Medicine, Harborview Medical Center, University of Washington, 325 9th Ave, Box 359931, Seattle, WA, USA"
International Journal of Men's Health,2016,12,Picture Perfect Bodies: Visualizing Hegemonic Masculinities Produced for/by Male Fitness Spaces.,"This study examines hegemonic masculinity as both a motivator for and a product of body improvement within male body culture. Through photovoice methodology and multi-phase, in-depth qualitative interviews, 24 men who were actively pursuing muscularity and/or fitness captured what it meant to pursue the ideal male body. Using Foucault to situate the body as a theoretical construct, the results validate male body culture as a unique space for the production of masculine identities. These masculinities echo the traits of hegemonic masculinity, and are discussed in light of five distinct themes--(1) dominance and intimidation, (2) demanding respect, (3) weapons and violence, (4) social capital, and (5) sexual dominance. Results are discussed in light of Foucauldian readings of fitness, with regard to the potentials of photovoice for better understanding the complexities of identity formation and enactment within fitness spaces.","WAGNER, PHILLIP E.",,"Director of General Education and Chair of the Chancellor's Advisory Council on Diversity, Equity, & Inclusion at the University of South Florida Sarasota-Manatee"
International Journal of Inclusive Education,2009,6,"Data, data everywhere - but not all the numbers that count? Mapping alternative provisions for students excluded from school.","It is now mandatory for English schools to ensure that young people, under 16 years of age, who are excluded from school are placed in an education and training programme within 12 days. The programme must be at least half time, and should offer a meaningful and balanced curriculum. The Every Child Matters agenda also suggests that schools must coordinate services with other agencies to ensure that young people deemed 'at risk' are assisted to stay in mainstream schooling. Our research project examined the educational and training provisions for permanently excluded pupils, and young people likely to be permanently excluded, across two Midlands counties. The research focus - who gets what - is fundamental to questions of equity, access and participation. The findings suggest that, despite some very good local practices and highly skilled practitioners, there is a lack of coordinated data about which programmes exist and who attends, and a proliferation of programmes with varying funding sources, costs, entry practices, and qualifications. It is argued that this situation bodes poorly for monitoring and for ensuring the entitlement to education and training of those young people who are most marginalised by and through their schooling. However, we are concerned about the possibilities for further intensification of staff work and increased surveillance on young people if our recommendations for equity monitoring and better quality control were to go ahead.","Thomson, Pat","Russell, Lisa","Centre for Research in Equity and Diversity in Education, University of Nottingham, Nottingham, UK."
American Behavioral Scientist,2008,3,The Weakest Link: A Commentary on the Connections Between K-12 and Higher Education.,"Colleges and universities could be seen as being at the apex of a steep educational pyramid. Prospective entrants to the academy make their way up the pyramid by way of their experiences in elementary and secondary schools. Young people with financial means and social capital are likely to make it to the top of the pyramid with little difficulty. However, students of color, especially boys, are more likely to drop out, opt out, or be pushed out of school than they are to make a successful journey to the top. College and university presidents can help to change this situation by supporting precollege intervention programs on their campuses and in their communities. These programs can motivate and inspire students to pursue high academic achievement, and they help to establish a sense within these young people that attending college is an attainable goal, regardless of one's present social or financial circumstances.","Harvey, William B.",,"Vice president for diversity and equity and professor, Department of Educational Leadership and Policy Studies, University of Virginia."
Journal of College Admission,2021,1,"NO MORE APPLAUSE, PLEASE!",,"Alexander II, Lawrence Q.",,"Director of diversity, equity, and inclusion at Carney, Sandoe & Associates"
Peer Review,2015,10,A Shared Vision for Student Success.,"The article examines the role of community colleges in the U.S. in ensuring that its students are successful. It offers information on community colleges which caters to multicultural, multigenerational, low-income, and first-generation college students. Several programs to improve student success are discussed as well as the shared goals of education leaders. Also explored are trade body Association of American Colleges and Universities' programs to ensure student success.","McNair, Tia Brown","Couturier, Lara K.","Associate vice president, Office of Diversity Equity and Student Success, AAC&U"
Quality of Life Research,2015,8,Perceived health status and cardiometabolic risk among a sample of youth in Mexico.,"Purpose: To examine differences in self-reported perceived mental and physical health status, as well as known cardiometabolic risk factors in a sample of normal weight, overweight, and obese Mexican youths. Methods: Cross-sectional analysis of 164 youths aged 11-18 years recruited in Cuernavaca, Mexico. Participants completed a self-administered questionnaire that included measures of generic and weight-specific quality of life, perceived health, physical function, depressive symptoms, and body shape satisfaction. Height, weight, and waist circumference were measured, and body mass index (BMI) was determined. Fasting blood samples from participants yielded levels of glucose, triglycerides, and cholesterol (total, HDL, and LDL). Results: Nearly 50 % of participants were female, 21 % had a normal BMI, 39 % were overweight, and 40 % were obese. Obese youths reported significantly lower measures of perceived health status (PHS) and showed an increase in cardiometabolic risk, compared with normal weight youths. Physical functioning, generic and weight-specific QoL were inversely associated with BMI, waist circumference, and glucose. Depressive symptoms were positively correlated with BMI, waist circumference, glucose levels, and HDL cholesterol. No correlation was found between PHS and cardiometabolic risk measures after controlling for BMI. Conclusions: In this sample of Mexican youths, obesity was associated with a significantly lower PHS and increased cardiometabolic risk.","Flores, Yvonne","Shaibi, Gabriel","College of Nursing and Health Innovation, Arizona State University, Phoenix USA"
St. John's Law Review,2015,6,IN DEFENSE OF MCDONNELL DOUGLAS: THE DOMINATION OF TITLE VII BY THE AT-WILL EMPLOYMENT DOCTRINE.,The article reports the decision of the U.S. Supreme Court in the case 'McDonnell Douglas Corp. v. Green' concerning Title VII of Civil Rights Act of 1964. Topics discussed include moral principle of equality; creation of Title VII by the U.S. Congress and the Supreme Court's interpretation of Title VII; and the at-will employment doctrine as part of the constitutionally protected freedom of contract.,"HENSON, CHUCK",,"Interim Vice Chancellor, Division of Inclusion, Diversity and Equity, University of Missouri School of Law"
Journal of Gender Studies,2015,6,"Who is the ‘girly’ girl? Tomboys, hyper-femininity and gender.","This study is based on research which focused on tomboy girls and their shared leisure time with their mothers. The research was a small-scale exploratory study of 20 women in the UK; data were collected in Yorkshire in the north of England and London in the south-east. The focus of the research was on the topic of tomboy identities. In this study, we explore the nuances and ambiguities around what a tomboy is by using an indirect (and perhaps unexpected) but nonetheless illuminating route: asking what constitutes a ‘girly-girl’, the polar opposite of the tomboy. We are interested in how she compares with the tomboy, and how the tomboy participants talked about her. We conclude that the girly-girl is a powerful cultural figure, part of a narrative in which women are sexualised and objectified but she is also a form of polemic; she is contrived to be a marker of the worst excesses of hegemonic ‘femininity’. It is through this lens that we can view and understand the tomboy, and the anxieties about the tomboy experienced by those around her.","Holland, Samantha","Harpin, Julie","Centre for Diversity, Equity and Inclusion, Leeds Metropolitan University, Headingley Campus, LeedsLS6 3QS, UK"
International Journal of Drug Policy,2023,1,Trust and service engagement among people who inject drugs after release from prison.,"• Trust influences service engagement, and can influence post-release experiences. • Service provider competence impacts on notions of trust, and can influence post-release experiences. • People who inject drugs are vulnerable to breaches of fidelity amid service engagement. • Reciprocal trust likely fosters honesty about client needs and enables self-advocacy and empowerment. • People who inject drugs experience stigma and discrimination following release from prison and impedes upon global trust. Compounding histories of injecting drug use and incarceration can marginalise people engaging with services, making it difficult for them to address their health and social welfare needs, particularly when they navigate community re-entry service supports. Drawing on Hall and colleagues' five components of trust, this paper seeks to understand how trust in service providers fosters (or inhibits) effective service engagement from the perspective of people who inject drugs during the prison post-release period. Between September 2018 and May 2020, qualitative in-depth interviews were completed with 48 adults (33 men, 15 women) recruited from SuperMIX (a longitudinal cohort study of people with a history of injection drug use in Victoria, Australia). Data relating to service engagement were coded against the five components of trust: competence, fidelity, honesty, global trust, and confidence. Reflections of post-release service engagement frequently focused on interactions with community corrections (parole) officers. Depictions of trust were consistently portrayed within the context of negative experiences and deficits, whereby trusting provider relationships and interactions were rarely described. Most participants recounted a stark absence of fidelity (that is, ""pursuing a [client's] best interests""), with some participants detailing circumstances in which their vulnerability was purposefully, almost strategically, exploited. These encounters nearly always had the consequence of impeding the participant's positive progression in the post-release integration period. There is an urgent need to prioritise the client in health and social service delivery in the post-release transition-to-community period and recognise the importance of trust in delivering effective services to people whose life histories make them highly vulnerable to marginalisation.","Lafferty, L.","Schroeder, S.","Centre for Social Research in Health, UNSW Sydney, Level 1, Goodsell Building, Sydney NSW 2052, Australia"
Review of Higher Education,2011,6,Inclusion and Diversity: Meeting the Needs of All Students.,"The article reviews the book ""Inclusion and Diversity: Meeting the Needs of All Students,"" edited by Sue Grace and Phil Gravestock.","HILSON JR., WAYNE J.",,"Director of Multicultural Academic Relations, Office of Diversity, Equity, and Inclusion, Indiana University-Purdue University Indianapolis (IUPUI)"
American Indian Culture & Research Journal,2020,10,Playing (the Casino) Indian: Native American Roles in Peak TV.,"The article examines Casino Indian characterization in scripted, hour-long 'prestige' dramas called Peak TV. Topics discussed include examples of shows that create an image of 'Indianness' juxtaposed with fictional casinos, including ""The Sopranos,"" ""Big Love,"" and ""The Killing,"" types roots in historical tendencies to imagine the U.S. in relation to the peoples it displaced and the lifestyle it forever altered by its imperialist policies, and ontogenesis of the Casino Indian character.","Elkin Mohler, Courtney",,"Associate professor of Theatre and associate dean for Inclusion, Diversity, Equity, and Access at Butler University"
Nutrition Today,2020,9,How Community Health Workers Can Improve Workforce Diversity and Dietary Outcomes.,"This article describes the role of community health workers (CHWs), explores how and why CHWs are used in nutrition education to improve patient outcomes, examines the potential of using CHWs to diversify the credentialed workforce, and identifies challenges to incorporating more CHWs into nutrition programs.","Burt, Kate G.","Sisselman-Borgia, Amanda","Kate G. Burt, PhD, RD is an assistant professor in the Dietetics, Food and Nutrition Program at Lehman College, City University of New York in Bronx, New Yor. Dr. Burt's work is centered around diversity, equity, and inclusion. She researches the impact of systemic racism on professional diversity, dietary guidance, and nutrition education."
Journal of Clinical Investigation,2021,7,The US biological sciences faculty gap in Asian representation.,,"Meixiong, James","Hill Golden, Sherita","Medical Scientist Training Program, Johns Hopkins University, Baltimore, Maryland, USA"
Quarterly Journal of Speech,2020,8,"Unmasking ""ignorance"".","Recent years have seen rising public talk around voting access and voter suppression, particularly as linked to marginalized and disenfranchised populations. In this reflection, we assess varied such public conversations and identify an interesting narrative encapsulating both those arguing voter suppression as a rising concern and those minimizing such claims. Organized around ""ignorance,"" this metanarrative does the rhetorical work of containment.","Flores, Lisa A.","Villarreal, Mary Ann","Department of Communication, University of Colorado, Boulder, CO, USA"
Lancet Neurology,2020,6,Biological and clinical characteristics of gene carriers far from predicted onset in the Huntington's disease Young Adult Study (HD-YAS): a cross-sectional analysis.,"<bold>Background: </bold>Disease-modifying treatments are in development for Huntington's disease; crucial to their success is to identify a timepoint in a patient's life when there is a measurable biomarker of early neurodegeneration while clinical function is still intact. We aimed to identify this timepoint in a novel cohort of young adult premanifest Huntington's disease gene carriers (preHD) far from predicted clinical symptom onset.<bold>Methods: </bold>We did the Huntington's disease Young Adult Study (HD-YAS) in the UK. We recruited young adults with preHD and controls matched for age, education, and sex to ensure each group had at least 60 participants with imaging data, accounting for scan fails. Controls either had a family history of Huntington's disease but a negative genetic test, or no known family history of Huntington's disease. All participants underwent detailed neuropsychiatric and cognitive assessments, including tests from the Cambridge Neuropsychological Test Automated Battery and a battery assessing emotion, motivation, impulsivity and social cognition (EMOTICOM). Imaging (done for all participants without contraindications) included volumetric MRI, diffusion imaging, and multiparametric mapping. Biofluid markers of neuronal health were examined using blood and CSF collection. We did a cross-sectional analysis using general least-squares linear models to assess group differences and associations with age and CAG length, relating to predicted years to clinical onset. Results were corrected for multiple comparisons using the false discovery rate (FDR), with FDR <0·05 deemed a significant result.<bold>Findings: </bold>Data were obtained between Aug 2, 2017, and April 25, 2019. We recruited 64 young adults with preHD and 67 controls. Mean ages of participants were 29·0 years (SD 5·6) and 29·1 years (5·7) in the preHD and control groups, respectively. We noted no significant evidence of cognitive or psychiatric impairment in preHD participants 23·6 years (SD 5·8) from predicted onset (FDR 0·22-0·87 for cognitive measures, 0·31-0·91 for neuropsychiatric measures). The preHD cohort had slightly smaller putamen volumes (FDR=0·03), but this did not appear to be closely related to predicted years to onset (FDR=0·54). There were no group differences in other brain imaging measures (FDR >0·16). CSF neurofilament light protein (NfL), plasma NfL, and CSF YKL-40 were elevated in this far-from-onset preHD cohort compared with controls (FDR<0·0001, =0·01, and =0·03, respectively). CSF NfL elevations were more likely in individuals closer to expected clinical onset (FDR <0·0001).<bold>Interpretation: </bold>We report normal brain function yet a rise in sensitive measures of neurodegeneration in a preHD cohort approximately 24 years from predicted clinical onset. CSF NfL appears to be a more sensitive measure than plasma NfL to monitor disease progression. This preHD cohort is one of the earliest yet studied, and our findings could be used to inform decisions about when to initiate a potential future intervention to delay or prevent further neurodegeneration while function is intact.<bold>Funding: </bold>Wellcome Trust, CHDI Foundation.","Scahill, Rachael I","Zeun, Paul","Huntington's Disease Centre, Department of Neurodegenerative disease, UCL Queen Square Institute of Neurology, University College London, London, UK"
ABNF Journal,2020,7,Nursing Academia: Finding the Silver Lining in the Midst of a Pandemic.,"The authors reflect on the similarities of the nursing academia during the COVID-19 pandemic in the U.S. and how can nursing schools can overcome the challenges during the crisis. The similarities include the virtual learning environments, the need to address the students' learning environment, and the misconception of work-life balance. Also mentioned is the importance of sharing experiences, protocols, and policies to survive the pandemic.","Elliott, Rowena W.",,"Associate Professor at the Nell Hodgson Woodruff School of Nursing at Emory University in Atlanta, GA"
Perspectives on Medical Education,2021,3,"From the ""top-down"" and the ""bottom-up"": Centering Foucault's notion of biopower and individual accountability within systemic racism.","At present, the ""color line"", referencing the divide between races, continues to be frontstage in the U.S. and globally as demonstrated, most recently, with the white supremacist insurrection occurring at the nation's Capitol building in the U.S. [[6]]. In ways that could not have been anticipated even a few years earlier, segments of American society have had to reckon with the pervasive, powerful forces of white supremacy and the ways society and its structures have disadvantaged racially minoritized groups. For example, when medical educators only show photos of white skin when discussing dermatological issues, according to Foucault these preferential acts normalize the presentation of the disease in white skin, which in turn disadvantages patients with a different skin color. Editor's note: This commentary article refers to the articleavailable online at https://doi.org/10.1007/s40037-020-00645-6.","Zaidi, Zareen","Bush, Antonio A.","Department of Medicine, University of Florida College of Medicine, 103204, 32610, Gainesville, FL, USA"
Adoption Quarterly,2020,4,"Locating the Intersections of Disability, Race and Ethnicity in Adoption Rates among Foster Children Introduction.","The promotion of speedy, permanent adoption outcomes for children in foster care whose parental rights have been terminated is a central child welfare policy goal. However, while both children of color and children with disabilities are at greater risk for child welfare involvement, little is known about influence of these intersecting identities on adoption rates. This cross-sectional national study draws on the Adoption and Foster Care Analysis and Reporting System (AFCARS) to explore the between and within group foster care outcomes of adoption. While we expected to see advantages in outcomes based on identification with privileged social identities, our findings were much more varied. Implications relate to the need for intersectional approaches to equity assessments of child welfare systems and practice.","Johnson, Lisa","Slayter, Elspeth","School of Social Work, Salem State University, Salem, Massachusetts, USA"
Western Journal of Emergency Medicine: Integrating Emergency Care with Population Health,2021,1,A Novel Approach to Neonatal Resuscitation Education for Senior Emergency Medicine Residents.,"The majority of pediatric visits occur in general emergency departments. Caring for critically ill neonates is a low-frequency but high-stakes event for emergency physicians, which requires specialized knowledge and hands-on training. We describe a novel clinical rotation for emergency medicine (EM) residents that specifically augments skills in neonatal resuscitation through direct participation as a member of the neonatal resuscitation team. The neonatal resuscitation rotation evaluation median score of 4 (interquartile range [IQR] 3,4) was higher compared to all other off-service senior resident rotations combined (median 3, IQR 3,4) for the academic year 2018-2019. Ninety-two percent of residents evaluated the curriculum change as beneficial (median 4, IQR 4,4). The neonatal resuscitation rotation was rated more favorably than the pediatric intensive care rotation (median 4 IQR 3,4 vs median 3, IQR 2, 3) at a tertiary care children's hospital during the third year. Residency programs may want to consider implementing a directed neonatal resuscitation experience as part of a comprehensive pediatric curriculum for EM residents.","Buchanan, Jennie A.","Hagan, Patricia","Denver Health & Hospital Authority, University of Colorado, Department of Emergency Medicine, Denver, Colorado."
Diabetes Care,2021,1,Social Determinants of Health and Structural Inequities-Root Causes of Diabetes Disparities.,"The article focuses on leading cause of death in the U.S. and remains a significant cause of disability and decreased quality of life of million people in the U.S. had diabetes. Topics include the diabetes is a public health crisis that must be addressed by acknowledging and intervening on contextual factors, and the traditional medical care are to truly make an impact on improving outcomes.","Ogunwole, S. Michelle","Golden, Sherita H.","Division of General Internal Medicine, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD"
Diverse: Issues in Higher Education,2014,3,The Specter of Academic Employment: The Diversity Statement.,"The author reflects on the inclusion of diversity statements in the application for faculty positions amid the presence of women and multiculturalism in educational institutions. He explains the relevance of heterogeneity as individuals have experienced it personally or through a friend affecting their lives. He also highlights the blog post ""Making Sense of the Diversity Statement,"" by Karen Kelsky.","SIMS, GUY A.",,"Assistant, president for equity, diversity, and inclusion, Bluefield State College"
Independent School,2022,10,How to Hug a Pufferfish.,,"Medina, Lily",,"Director of Diversity, Equity, and Inclusion Seattle Country Day School (WA)"
Journal of Applied Communication Research,2019,11,The roles of ingroup identification and implicit bias in assessing the effectiveness of an online diversity education program.,"Diversity education is increasingly recognized as important to the health of a university, however, little empirical work has examined the intergroup processes at play and the effectiveness of online diversity education on college students. This research utilized a repeated-measures mixed factorial design to examine the implicit and explicit effects of online diversity education delivered at a large public university during the course of a semester. The study design was informed by intergroup contact, social identity, and computer-mediated communication research. Findings contribute to theorizing about intergroup processes in the reception of and learning from diversity education and point to practical avenues for employing online diversity education in higher education. Recommendations are made for practitioners interested in designing and delivering diversity training online in an interactive learning environment.","Behm-Morawitz, Elizabeth","Villamil, Astrid M.","Department of Communication, University of Missouri, Columbia, MO, USA"
Teaching & Learning in Medicine,2019,10,Racial/Ethnic Disparities in Clinical Grading in Medical School.,"Phenomenon: Performance during the clinical phase of medical school is associated with membership in the Alpha Omega Alpha Honor Medical Society, competitiveness for highly selective residency specialties, and career advancement. Although race/ethnicity has been found to be associated with clinical grades during medical school, it remains unclear whether other factors such as performance on standardized tests account for racial/ethnic differences in clinical grades. Identifying the root causes of grading disparities during the clinical phase of medical school is important because of its long-term impacts on the career advancement of students of color. Approach: To evaluate the association between race/ethnicity and clinical grading, we examined Medical Student Performance Evaluation (MSPE) summary words (Outstanding, Excellent, Very Good, Good) and 3rd-year clerkship grades among medical students at the University of Washington School of Medicine. The analysis included data from July 2010 to June 2015. Medical students were categorized as White, underrepresented minorities (URM), and non-URM minorities. Associations between MSPE summary words and clerkship grades with race/ethnicity were assessed using ordinal logistic regression models. Findings: Students who identified as White or female, students who were younger in age, and students with higher United States Medical Licensing Examination Step 1 scores or final clerkship written exam scores consistently received higher final clerkship grades. Non-URM minority students were more likely than White students (Adjusted Odds Ratio = 0.53), confidence interval [0.36, 0.76], p =.001, to receive a lower category MSPE summary word in analyses adjusting for student demographics (age, gender, maternal education), year, and United States Medical Licensing Examination Step 1 scores. Similarly, in four of six required clerkships, grading disparities (p <.05) were found to favor White students over either URM or non-URM minority students. In all analyses, after accounting for all available confounding variables, grading disparities favored White students. Insights: This single institution study is among the first to document racial/ethnic disparities in MSPE summary words and clerkship grades while accounting for clinical clerkship final written examinations. A national focus on grading disparities in medical school is needed to understand the scope of this problem and to identify causes and possible remedies.","Low, Daniel","Pollack, Samantha W.","Swedish Cherry Hill Family Medicine Residency, University of Washington School of Medicine, Seattle, Washington, WA, USA"
Nature Reviews Nephrology,2022,5,Shifting narratives in health care from resilience to redress and resistance.,Dominant narratives that describe the power of individual-level resilience underplay the long-lasting consequences of structural violence and perpetuate harms to historically marginalized patients and communities. It is time to update our approaches and narratives by addressing the root causes of inequities through redress and collective resistance to create the equitable conditions needed for communities to thrive.,"Sivashanker, Karthik","Couillard, Cheri","Center for Health Equity, American Medical Association, Chicago, IL, USA"
"International Journal of Radiation Oncology, Biology, Physics",2020,11,Insights Into Addressing Structural Barriers and Building Specialty Diversity Through a Successful Pipeline Pathway Program.,,"Mason, Bonnie S.",,"Vice President, Diversity, Equity, and Inclusion, Accreditation Council for Graduate Medical Education, Chicago, Illinois"
Independent School,2021,4,Independent Spirit.,A personal narrative is presented which explores the author's experience of teaching in an independent school in Saudi Arabia and the learning environment at her school in Texas.,"Kenny, Priya",,"Co-Director of Diversity, Equity, Inclusion, and Belonging, St. Andrew's Episcopal School Austin, Texas"
